"3";"Аура живучести [Aura of vitality]";"3 круг, воплощение";"1 действие";"На себя (30-футовый радиус)";"В";"Концентрация, вплоть до 1 минуты";"От вас исходит аура живительной энергии с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Вы можете бонусным действием восстанавливать одному любому существу в ауре (включая себя) 2к6 хитов.<br>";"жрец (TCE)"
"4";"Аура жизни [Aura of life]";"4 круг, ограждение";"1 действие";"На себя (30-футов радиус)";"В";"Концентрация, вплоть до 10 минут";"От вас исходит защищающая жизнь аура с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Все невраждебные существа в ауре (включая вас) обладают сопротивлением урону некротической энергией, и максимум их хитов не может уменьшаться. Кроме того, невраждебные живые существа восстанавливают 1 хит, когда начинают ход в этой ауре с 0 хитов.<br>";"жрец (TCE)"
"4";"Аура очищения  [Aura of purity]";"4 круг, ограждение";"1 действие";"На себя (30-футов радиус)";"В";"Концентрация, вплоть до 10 минут";"От вас исходит очищающая аура с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Все невраждебные существа в ауре (включая вас) не могут заболеть, имеют сопротивление урону ядом и совершают с преимуществом спасброски от эффектов, вызывающих следующие состояния: глухота, испуг, ослепление, отравление, очарование, ошеломление и паралич.<br>";"жрец (TCE)"
"8";"Аура святости  [Holy aura]";"8 круг, ограждение";"1 действие";"На себя";"В, С, М";"Концентрация, вплоть до 1 минуты";"(крошечный контейнер, стоящий как минимум 1 000 зм, хранящий священную реликвию, такую как лоскут ткани с мантии святого или кусочек пергамента с религиозным текстом)Божественный свет исходит от вас мягким сиянием в радиусе 30 футов. Пока заклинание активно, существа в этом радиусе, выбранные вами при накладывании этого заклинания, испускают тусклый свет в радиусе 5 футов и совершают все спасброски с преимуществом, а остальные существа совершают с помехой броски атаки по ним. Кроме того, если исчадие или нежить попадает по такому существу рукопашной атакой, аура вспыхивает ярким светом. Атакующий должен преуспеть в спасброске Телосложения, иначе станет ослеплённым, пока не окончится это заклинание.<br>";"жрец"
"1";"Благословение [Bless]";"1 круг, очарование";"1 действие";"30 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(капля святой воды)Вы благословляете до трёх существ на свой выбор в пределах дистанции. Каждый раз, когда до окончания заклинания цель совершает бросок атаки или спасбросок, она может бросить к4 и добавить выпавшее число к результату.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 2 уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше первого.<br>";"жрец"
"2";"Божественное оружие  [Spiritual weapon]";"2 круг, воплощение";"1 бонусное действие";"60 футов";"В, С";"1 минута";"Вы создаёте в пределах дистанции парящее призрачное оружие, существующее, пока заклинание активно, или пока вы не накладываете это заклинание ещё раз. Когда вы накладываете это заклинание, вы можете совершить рукопашную атаку заклинанием по существу, находящемуся в пределах 5 футов от оружия. При попадании цель получает урон силовым полем, равный 1к8 + модификатор вашей базовой характеристики.<br>
Вы можете бонусным действием в свой ход переместить оружие на 20 футов и повторить атаку по существу, находящемуся в пределах 5 футов от него.<br>
Оружие может быть любой формы. Жрецы божеств, связанных с конкретным оружием (святой Катберт известен своей булавой, а Тор — молотом), создают эффект в виде именно такого оружия.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 3 уровня или выше, урон увеличивается на 1к8 за каждые две ячейки выше второго.<br>";"жрец"
"7";"Божественное слово [Divine word]";"7 круг, воплощение";"1 бонусное действие";"30 футов";"В";"Мгновенная";"Вы произносите божественное слово, наделённое силой, сформировавшей мир на заре творения. Выберите любое количество существ, которых вы видите в пределах дистанции. Все эти существа, слышащие вас, должны совершить спасбросок Харизмы. При провале существо попадает под действие эффекта, основанного на текущем количестве хитов:<br>

50 хитов или меньше: глухота на 1 минуту.<br>
40 хитов или меньше: глухота и слепота на 10 минут.<br>
30 хитов или меньше: слепота, глухота и ошеломление на 1 час.<br>
20 хитов или меньше: моментальная смерть.<br>

Вне зависимости от текущих хитов, исчадия, небожители, феи и элементали, провалившие спасбросок, изгоняются на свой родной план (если только они уже там не находятся), и не могут вернуться на ваш текущий план в течение 24 часов кроме как посредством заклинания исполнение желаний [wish].<br>";"жрец"
"3";"Быстрые друзья [Fast friends]";"3 круг, очарование";"1 действие";"30 футов";"В";"Концентрация, вплоть до 1 часа";"Когда вам нужно убедиться, что что-то сделано, вы не можете полагаться на чьи-то обещания, клятвы или обязательные трудовые договоры. Когда вы произносите это заклинание, выберите одного гуманоида в пределах досягаемости, который может видеть и слышать вас, и который может вас понять. Существо должно преуспеть в спасброске Мудрости или стать очарованным вами на все время действия заклинания. Когда существо очаровано таким образом, оно обязуется выполнять любые распоряжения, которые вы попросите его выполнить в дружеской манере, в меру своих возможностей.<br>
Вы можете дать существу новую задачу, когда предыдущая задача будет завершена, или, если вы решите, завершить действие заклинания. Если ваши распоряжения могут причинить вред очарованному существу или если они противоречат обычной деятельности и желаниям существа, то существо может сделать ещё один спасбросок Мудрости, чтобы попытаться досрочно закончить действие эффекта. Спасбросок делается с преимуществом, если вы или ваши товарищи сражаетесь с этим существом. Если существо умирает, действие заклинания заканчивается.<br>
После окончания действия данного заклинания, существо точно знает, кем оно было очарованно.<br>
<b>На больших уровнях:</b> Когда вы произносите это заклинание, используя ячейку заклинаний 4-го уровня или выше, вы можете нацелиться на одно дополнительное существо для каждого уровня ячейки выше 3-го.<br>";"жрец"
"2";"Вечный огонь [Continual flame]";"2 круг, воплощение";"1 действие";"Касание";"В, С, М";"Пока не рассеется";"(порошок рубина на 50 зм, расходуемый заклинанием)Из предмета, которого вы касаетесь, исходит пламя, эквивалентное по яркости пламени факела. Эффект выглядит как обычное пламя, но не создает тепла и не использует кислород. Вечный огонь можно накрыть или спрятать, но не потушить.<br>";"жрец"
"4";"Власть над водами [Control water]";"4 круг, преобразование";"1 действие";"300 футов";"В, С, М";"Концентрация, вплоть до 10 минут";"(капля воды и щепотка пыли)Пока это заклинание активно, вы контролируете свободно текущую или стоячую воду в кубе с длиной ребра 100 футов. Вы можете выбрать один эффект из перечисленных ниже. Вы можете в свой ход действием повторить тот же эффект или выбрать другой.<br>
<b>Водоворот</b>. Для этого эффекта требуется объём воды в квадрате с длиной стороны 50 футов и глубиной 25 футов. В центре области вы формируете водоворот. Водоворот создает воронку шириной 5 футов в основании, 50 футов в верхней части, и высотой 25 футов. Все существа и предметы, находящиеся в воде в пределах 25 футов от водоворота, подтягиваются к нему на 10 футов. Существа могут плыть прочь от водоворота, совершая проверку Силы (Атлетика) против Сл ваших заклинаний.<br>
Если существо впервые за раунд входит в пространство воронки или начинает в ней ход, оно должно совершить спасбросок Силы. При провале существо получает дробящий урон 2к8 и становится пойманным воронкой, пока заклинание активно. В случае успеза существо получает половину урона, и не становится пойманным воронкой. Пойманное воронкой существо может действием пытаться уплыть от водоворота, как описано выше, но проверка Силы (Атлетика) совершается с помехой.<br>
В каждом ходу в первый раз, когда предмет оказывается в области воронки, он получает дробящий урон 2к8";"жрец"
