bca67c60-ac90-4726-94a6-d5570f153380;"8";"Антипатия/симпатия  [Antipathy/sympathy]";"8 круг, очарование";"1 час";"60 футов";"В, С, М";"10 дней";"(пропитанный уксусом кусок квасцов для эффекта антипатии или капля мёда для эффекта симпатии)Это заклинание привлекает или отталкивает выбранных вами существ. Вы выбираете цель в пределах дистанции: либо предмет размером не больше Огромного, либо существо, либо область не больше куба с длиной ребра 200 футов. Затем укажите вид разумных существ, такой как красные драконы, гоблины или вампиры. Вы наделяете цель аурой, которая в течение длительности либо привлекает, либо отталкивает указанных существ. Выберите либо эффект антипатии, либо эффект симпатии:<br>
<b>Антипатия</b>. Эти чары вызывают у выбранных вами существ непреодолимое желание покинуть область и избегать цель. Если такое существо видит цель и оказывается в пределах 60 футов от неё, оно должно преуспеть в спасброске Мудрости, иначе станет испуганным. Существо остаётся испуганным, пока видит цель или находится в пределах 60 футов от неё. Будучи испуганным целью, существо должно тратить своё перемещение на побег в ближайшее безопасное место, откуда оно уже не увидит цель. Если существо отдалится от цели более чем на 60 футов и не сможет её видеть, оно перестаёт быть испуганным, но становится испуганным вновь, если увидит цель или окажется в пределах 60 футов от неё.<br>
<b>Симпатия</b>. Эти чары вызывают у выбранных вами существ непреодолимое желание приблизиться к цели, если они находятся в пределах 60 футов от неё или видят её. Если такое существо видит цель или оказывается в пределах 60 футов от неё, оно должно преуспеть в спасброске Мудрости, иначе оно в каждом своём ходу тратит перемещение на то, чтобы войти в область или прикоснуться к цели. Сделав это, оно уже не может добровольно отойти от цели.<br>
Если цель причиняет урон или как-то иначе вредит указанному существу, существо может совершить спасбросок Мудрости для окончания эффекта, как описано ниже.<br>
<b>Окончание эффекта</b>. Если указанное существо окончит ход за пределами 60 футов от цели или не сможет её видеть, оно совершает спасбросок Мудрости. В случае успеха эффект на существе заканчивается, и оно понимает, что тяга или отвращение были вызваны магией. Кроме того, попавшему под эффект заклинания существу позволяется спасбросок Мудрости каждые 24 часа, пока заклинание активно.<br>
Совершившее успешный спасбросок существо получает иммунитет к эффекту на 1 минуту, после чего снова попадает под его действие.<br>";"друид"
7d71f1f4-903b-4ecf-874f-0e97ce717c35;"3";"Аура живучести [Aura of vitality]";"3 круг, воплощение";"1 действие";"На себя (30-футовый радиус)";"В";"Концентрация, вплоть до 1 минуты";"От вас исходит аура живительной энергии с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Вы можете бонусным действием восстанавливать одному любому существу в ауре (включая себя) 2к6 хитов.<br>";"друид (TCE)"
d4009a02-63b1-42a8-8921-57efe5db2bb5;"2";"Бесследное передвижение  [Pass without trace]";"2 круг, ограждение";"1 действие";"На себя";"В, С, М";"Концентрация, вплоть до 1 часа";"(пепел от сожжённого листа омелы и еловая ветка)От вас начинает исходить покров теней и тишины, скрывающий вас и ваших спутников от обнаружения. Пока заклинание активно, все существа, выбранные вами в пределах 30 футов (включая вас) получают бонус +10 к проверкам Ловкости (Скрытность), и их нельзя выследить без помощи магии. Существо, получившее этот бонус, не оставляет за собой следов.<br>";"друид"
2211b576-7de6-4d9c-8270-1f93553a2efa;"2";"Вечный огонь [Continual flame]";"2 круг, воплощение";"1 действие";"Касание";"В, С, М";"Пока не рассеется";"(порошок рубина на 50 зм, расходуемый заклинанием)Из предмета, которого вы касаетесь, исходит пламя, эквивалентное по яркости пламени факела. Эффект выглядит как обычное пламя, но не создает тепла и не использует кислород. Вечный огонь можно накрыть или спрятать, но не потушить.<br>";"друид (TCE)"
3467748c-df13-4539-9cee-a066fbb3f3ee;"5";"Власть над ветрами [Control winds]";"5 круг, преобразование";"1 действие";"300 футов";"В, С";"Концентрация, вплоть до 1 часа";"Вы можете контролировать ветер в кубе с длиной ребра 100 футов, который вы можете видеть в пределах дистанции. В момент накладывания заклинания выберите один из нижеперечисленных эффектов. Этот эффект продолжается до тех пор, пока действует заклинание, если вы действием не переключитесь на другой эффект. Вы также можете действием временно отменить эффект или вновь возобновить его.<br>
<b>Шквал.</b> Ветер усиливается, постоянно дуя горизонтально в направлении, которое вы выбрали. Вы можете выбрать интенсивность ветра: спокойный, умеренный или сильный. Если ветер умеренный или сильный, то дальнобойные атаки оружием, траектория которых входит в куб, выходит из куба или проходит через него, совершаются с помехой. Все существа, идущие против сильного ветра, расходуют дополнительный фут передвижения за каждый пройдённый фут.<br>
<b>Нисходящий поток.</b> Вы создаёте постоянный поток сильного ветра, который направлен сверху вниз. Атаки дальнобойным оружием совершаются с помехой, если их траектория проходит через область действия заклинания или целью является существо в кубе. Если летающее существо впервые за ход оказывается в этой области или начинает свой ход в ней, оно должно преуспеть в спасброске Силы, иначе будет сбито с ног.<br>
<b>Восходящий поток.</b> Вы создаёте постоянный поток ветра, который направлен снизу вверх. Существа, которые падают на землю внутри куба, получают лишь половину урона от падения. Если существо в кубе совершает вертикальный прыжок, высота прыжка увеличивается на 10 футов.<br>";"друид(XGE)"
d15cc571-9c64-49ef-b222-7bc5fa65684b;"4";"Власть над водами [Control water]";"4 круг, преобразование";"1 действие";"300 футов";"В, С, М";"Концентрация, вплоть до 10 минут";"(капля воды и щепотка пыли)Пока это заклинание активно, вы контролируете свободно текущую или стоячую воду в кубе с длиной ребра 100 футов. Вы можете выбрать один эффект из перечисленных ниже. Вы можете в свой ход действием повторить тот же эффект или выбрать другой.<br>
<b>Водоворот</b>. Для этого эффекта требуется объём воды в квадрате с длиной стороны 50 футов и глубиной 25 футов. В центре области вы формируете водоворот. Водоворот создает воронку шириной 5 футов в основании, 50 футов в верхней части, и высотой 25 футов. Все существа и предметы, находящиеся в воде в пределах 25 футов от водоворота, подтягиваются к нему на 10 футов. Существа могут плыть прочь от водоворота, совершая проверку Силы (Атлетика) против Сл ваших заклинаний.<br>
Если существо впервые за раунд входит в пространство воронки или начинает в ней ход, оно должно совершить спасбросок Силы. При провале существо получает дробящий урон 2к8 и становится пойманным воронкой, пока заклинание активно. В случае успеза существо получает половину урона, и не становится пойманным воронкой. Пойманное воронкой существо может действием пытаться уплыть от водоворота, как описано выше, но проверка Силы (Атлетика) совершается с помехой.<br>
В каждом ходу в первый раз, когда предмет оказывается в области воронки, он получает дробящий урон 2к8";"друид(XGE)"
6c955aad-2962-4e74-8f7d-b7df342ada14;"0";"Власть над огнём [Control flames]";"Трюк, преобразование";"1 действие";"60 футов";"С";"Мгновенная или 1 час";"Вы выбираете немагическое пламя, которое вы можете видеть в пределах дистанции и которое помещается в куб с длиной ребра 5 футов. Вы можете управлять им одним из нижеперечисленных способов:<br>

Вы можете мгновенно распространить огонь на 5 футов в одном направлении, если там присутствует дерево или другое топливо.<br>
Вы можете мгновенно потушить огонь в кубе.<br>
Вы можете увеличить или уменьшить вдвое область яркого и тусклого света, излучаемого пламенем, а также поменять его цвет. Эффект действует 1 час.<br>
Вы можете сотворить в огне изображение, которое будет отдалённо напоминать существо, предмет или место, и двигаться согласно вашим указаниям. Эффект действует 1 час.<br>

Если вы накладываете это заклинание несколько раз, одновременно вы не можете поддерживать более 3 длительных эффектов одновременно. Вы можете действием отменить один из действующих эффектов.<br>";"друид(XGE)"
2e7abccc-24a6-4606-995e-307b5b143f7a;"8";"Власть над погодой  [Control weather]";"8 круг, преобразование";"10 минут";"На себя (5 миль радиус)";"В, С, М";"Концентрация, вплоть до 8 часов";"(горящее благовоние и кусочки земли и дерева, смешанные с водой)Вы получаете на время длительности контроль над погодой в пределах 5 миль от себя. Для накладывания этого заклинания вы должны находиться на открытом воздухе. Если вы переместитесь в место, где над головой не будет неба, заклинание тут же закончится.<br>
Когда вы накладываете это заклинание, вы изменяете текущую погоду, которую определяет Мастер в зависимости от климата и времени года. Вы можете изменить осадки, температуру и ветер. Требуется 1к4 × 10 минут, чтобы новые условия вступили в силу. Когда новые условия вступят в силу, вы можете создать новые условия. Когда заклинание оканчивается, погода постепенно возвращается к нормальной.<br>
Изменяя погоду, найдите текущее состояние в таблицах и измените их на одну позицию выше или ниже. Изменяя ветер, можете изменить его направление.<br>





";"друид"
ebd8fe00-5400-438d-8a3b-154451d7e612;"5";"Водоворот [Maelstrom]";"5 круг, воплощение";"1 действие";"120 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(лист дерева или бумаги, свёрнутый в трубочку)В точке, которую вы можете видеть в пределах дистанции, возникает воронка воды радиусом 30 футов и глубиной 5 футов. Точка должна находиться на поверхности земли или в толще воды. Пока действует заклинание, эта область считается труднопроходимой местностью, и все существа, начинающие в ней ход, должны преуспеть в спасброске Силы, иначе получат 6к6 дробящего урона и будут подтянуты на 10 футов в направлении центра.<br>";"друид(XGE)"
857d1198-d8bd-4968-a234-9d974b70358a;"3";"Водяная стена [Wall of water]";"3 круг, воплощение";"1 действие";"60 футов";"В, С, М";"Концентрация, вплоть до 10 минут";"(капля воды)Вы создаёте стену воды в точке, которую можете видеть, в пределах дистанции. Точка должна располагаться на земле. Стена может быть длиной до 30 футов, высотой до 10 футов и толщиной до 1 фута. В качестве альтернативы, вы можете создать кольцо диаметром до 20 футов, высотой до 20 футов и толщиной до 1 фута. Стена существует, пока действует заклинание. Стена считается труднопроходимой местностью.<br>
Все атаки дальнобойным оружием, траектория которых проходит через пространство стены, совершаются с помехой. Огненный урон от эффектов, которые прошли через стену, уменьшается вдвое. Заклинания, которые причиняют урон холодом, при прохождении через стену замораживают ту область стены, сквозь которую прошли (минимум клетка 5×5 футов). Каждая замёрзшая секция площадью 5×5 футов имеет КД 5 и 15 хитов. Если хиты секции уменьшаются до 0, она разрушается. Разрушенные секции стены не заполняются водой повторно.<br>";"друид(XGE)"
